iter	Accuracy	Logloss
706	0.9786666667	0.190946007
707	0.98	0.1906169472
708	0.9813333333	0.1904179283
709	0.9813333333	0.1901205601
710	0.9813333333	0.1898311918
711	0.98	0.1896727039
712	0.9813333333	0.188945493
713	0.9813333333	0.188922584
714	0.9813333333	0.1888597748
715	0.9813333333	0.1885385649
716	0.9813333333	0.1879542777
717	0.9813333333	0.1878329169
718	0.9813333333	0.1869812503
719	0.9813333333	0.1863362518
720	0.9813333333	0.186110928
721	0.9813333333	0.1856525397
722	0.9813333333	0.1854070116
723	0.9813333333	0.1853509592
724	0.9813333333	0.1851669912
725	0.9813333333	0.1848128879
726	0.9826666667	0.1841163736
727	0.9826666667	0.1840540512
728	0.9826666667	0.1838573041
729	0.984	0.1833884585
730	0.984	0.1833698582
731	0.984	0.1830132343
732	0.984	0.1827633486
733	0.984	0.1819546999
734	0.984	0.1818045689
735	0.9826666667	0.1815629628
736	0.9826666667	0.1815338748
737	0.9826666667	0.18148787
738	0.9826666667	0.1813993171
739	0.984	0.1807560396
740	0.9853333333	0.1804844728
741	0.9853333333	0.1802931185
742	0.9853333333	0.1802147711
743	0.9853333333	0.1801417093
744	0.9853333333	0.1799019519
745	0.984	0.1796305895
746	0.9866666667	0.1793357741
747	0.9866666667	0.1792955859
748	0.9866666667	0.1792084317
749	0.9866666667	0.1791213155
750	0.9853333333	0.1787876948
751	0.9853333333	0.1786864246
752	0.9853333333	0.178377886
753	0.9853333333	0.1783613732
754	0.9866666667	0.1780987105
755	0.9866666667	0.1776055133
756	0.9866666667	0.1774860003
757	0.9866666667	0.177421693
758	0.9866666667	0.1773450144
759	0.9866666667	0.1771552219
760	0.9866666667	0.1770771806
761	0.9866666667	0.1766690219
762	0.9866666667	0.1765992019
763	0.9866666667	0.1762540436
764	0.9866666667	0.1759702072
765	0.988	0.1758298553
766	0.988	0.1756880388
767	0.988	0.1756386732
768	0.988	0.1754339771
769	0.988	0.175188101
770	0.988	0.1750934995
771	0.988	0.1747790754
772	0.988	0.1746544271
773	0.988	0.1745737831
774	0.988	0.174089483
775	0.988	0.1738975805
776	0.988	0.173659325
777	0.988	0.1733011705
778	0.988	0.1729607681
779	0.988	0.1729327335
780	0.988	0.1728858501
781	0.988	0.1727047944
782	0.9893333333	0.1721865883
783	0.9893333333	0.171900377
784	0.9893333333	0.171723842
785	0.988	0.171684848
786	0.988	0.1716396749
787	0.988	0.1715825537
788	0.988	0.1713837422
789	0.988	0.1713007128
790	0.988	0.1711681078
791	0.9893333333	0.1706647764
792	0.988	0.1706186377
793	0.988	0.1703434121
794	0.988	0.1702981354
795	0.9906666667	0.1697820073
796	0.988	0.1692861667
797	0.9893333333	0.1690663305
798	0.988	0.1687932561
799	0.9893333333	0.1685913963
800	0.988	0.1684876863
801	0.988	0.1680470527
802	0.988	0.1677686926
803	0.988	0.1672568618
804	0.988	0.1671681363
805	0.988	0.1671096038
806	0.988	0.1670179173
807	0.988	0.1667221255
808	0.988	0.1664017732
809	0.988	0.1662698243
810	0.988	0.1659782554
811	0.988	0.1658322501
812	0.988	0.165437772
813	0.988	0.1649861328
814	0.9893333333	0.1644805868
815	0.9893333333	0.1644346737
816	0.9893333333	0.1642055467
817	0.9893333333	0.1641189889
818	0.9893333333	0.1639694231
819	0.9906666667	0.1639132402
820	0.9893333333	0.1635467883
821	0.9893333333	0.163378645
822	0.9893333333	0.1629687348
823	0.9893333333	0.1627890455
